IIS3DWB 3-axis accelerometer by STM32
Configuration: FIFO continuous mode WTM = 20 Sensibility = +-4g
Timestamp resolution = 12.5us/LSB accel resolution 0.122mg/LSB

Timestamp(us) accelX(mg) accelY(mg) accelZ(mg)
26707.00 0 0 0 
8039 361 -799 8145 
8042 538 -802 7887 
8045 666 -754 7891 
8048 342 -821 7842 
8051 440 -643 7769 
8054 530 -751 7879 
8057 440 -755 7769 
8060 428 -762 8008 
8063 470 -736 7781 
8066 556 -673 7902 
9497 470 -658 7842 
9500 327 -725 8006 
9503 511 -725 7801 
9506 357 -677 7877 
9509 485 -677 7987 
9512 425 -777 7846 
9515 477 -644 7641 
9518 342 -755 7998 
9521 556 -692 7854 
9524 556 -673 7902 
11027 537 -788 7952 
11030 386 -877 8055 
11033 638 -599 7812 
11036 514 -762 7972 
11039 469 -728 8048 
11042 665 -510 7759 
11045 495 -721 7762 
11048 522 -766 7846 
11051 469 -695 7854 
11054 548 -762 7956 
12554 519 -658 7786 
12557 364 -917 7968 
12560 590 -610 8059 
12563 312 -699 7877 
12566 621 -788 7808 
12569 361 -610 7918 
12572 556 -773 7926 
12575 564 -758 7766 
12578 462 -677 7850 
12581 548 -762 7956 
14144 613 -577 7652 
14147 425 -836 7888 
14150 545 -643 7850 
14153 436 -710 7968 
14156 628 -673 7755 
14159 470 -706 7903 
14162 492 -695 7820 
14165 515 -792 7896 
14168 481 -725 7926 
14171 548 -762 7956 
15674 450 -666 7831 
15677 458 -644 7850 
15680 412 -866 7812 
15683 540 -677 7793 
15686 435 -777 7797 
15689 398 -773 8051 
15692 661 -706 7790 
15695 424 -562 7915 
15698 537 -669 7884 
15701 469 -669 7941 
17204 530 -706 7782 
17207 470 -736 7899 
17210 583 -588 7804 
17213 285 -803 7979 
17216 590 -573 7843 
17219 379 -806 7892 
17222 485 -725 7725 
17225 462 -736 7770 
17228 447 -777 7789 
17231 635 -632 7941 
18794 455 -710 7899 
18797 462 -695 7815 
18800 398 -784 7895 
18803 538 -618 7735 
18806 511 -721 7910 
18809 504 -754 7724 
18812 688 -573 7838 
18815 485 -606 7868 
18818 473 -795 8088 
18821 635 -632 7941 
20324 414 -743 7983 
20327 515 -625 7812 
20330 609 -684 7766 
20333 466 -884 7907 
20336 458 -692 8024 
20339 466 -743 7812 
20342 425 -769 7934 
20345 458 -621 8013 
20348 538 -736 7869 
20351 538 -858 7918 
21914 380 -836 8062 
21917 444 -662 7982 
21920 417 -662 7780 
21923 312 -603 8024 
21926 508 -758 7819 
21929 300 -595 7849 
21932 410 -814 7910 
21935 470 -529 7693 
21938 402 -858 7940 
21941 402 -744 7921 
23441 496 -721 7974 
23444 639 -714 7678 
23447 368 -751 7822 
23450 553 -596 7922 
23453 368 -806 7842 
23456 545 -703 7925 
23459 368 -766 7868 
23462 481 -643 7860 
23465 523 -647 8096 
23468 402 -744 7921 
24971 334 -684 7784 
24974 428 -758 7925 
24977 545 -581 7705 
24980 481 -751 8008 
24983 466 -769 7906 
24986 519 -728 7868 
24989 598 -710 7853 
24992 447 -717 8016 
24995 504 -725 8005 
24998 421 -669 7800 
26564 481 -817 7823 
26567 421 -677 7968 
26570 545 -728 7831 
26573 432 -751 7816 
26576 451 -773 7937 
26579 508 -740 7884 
26582 387 -769 7850 
26585 586 -654 7861 
26588 541 -662 7880 
26591 515 -673 7790 
28091 544 -777 7816 
28094 439 -784 7918 
28097 420 -695 7793 
28100 650 -718 7926 
28103 254 -873 7900 
28106 627 -495 7683 
28109 367 -888 7884 
28112 556 -703 7865 
28115 318 -788 8032 
28118 515 -673 7790 
29681 474 -695 7858 
29684 583 -673 7930 
29687 508 -792 7763 
29690 451 -814 7911 
29693 605 -703 7884 
29696 417 -784 7869 
29699 564 -755 7903 
29702 560 -684 7884 
29705 466 -758 8009 
29708 515 -673 7790 
31211 533 -706 7945 
31214 424 -692 7763 
31217 412 -725 7998 
31220 616 -521 7709 
31223 416 -799 7918 
31226 375 -669 7816 
31229 408 -710 7831 
31232 469 -728 7854 
31235 499 -651 7934 
31238 515 -673 7790 
32741 319 -658 7884 
32744 296 -799 7975 
32747 602 -551 7679 
32750 530 -810 7842 
32753 466 -621 7876 
32756 485 -784 7858 
32759 477 -647 7694 
32762 444 -747 7820 
32765 628 -577 7713 
32768 323 -806 7800 
34334 495 -658 7770 
34337 394 -732 7930 
34340 506 -710 7804 
34343 360 -995 8078 
34346 616 -729 7907 
34349 435 -640 7687 
34352 514 -617 7820 
34695.34572 361 -799 8145 
34850.21592 538 -802 7887 
35005.08612 666 -754 7891 
35159.95631 342 -821 7842 
35314.82651 440 -643 7769 
35469.6967 530 -751 7879 
